DAC	R	G	B	W
0	-1	-1	-1	0.18
1	-1	-1	-1	0.2019
2	-1	-1	-1	0.2238
3	-1	-1	-1	0.2456
4	-1	-1	-1	0.2675
5	-1	-1	-1	0.2894
6	-1	-1	-1	0.3113
7	-1	-1	-1	0.3331
8	-1	-1	-1	0.355
9	-1	-1	-1	0.3769
10	-1	-1	-1	0.3988
11	-1	-1	-1	0.4206
12	-1	-1	-1	0.4425
13	-1	-1	-1	0.4644
14	-1	-1	-1	0.4863
15	-1	-1	-1	0.5081
16	-1	-1	-1	0.53
17	-1	-1	-1	0.5969
18	-1	-1	-1	0.6638
19	-1	-1	-1	0.7306
20	-1	-1	-1	0.7975
21	-1	-1	-1	0.8644
22	-1	-1	-1	0.9313
23	-1	-1	-1	0.9981
24	-1	-1	-1	1.065
25	-1	-1	-1	1.1319
26	-1	-1	-1	1.1988
27	-1	-1	-1	1.2656
28	-1	-1	-1	1.3325
29	-1	-1	-1	1.3994
30	-1	-1	-1	1.4663
31	-1	-1	-1	1.5331
32	-1	-1	-1	1.6
33	-1	-1	-1	1.7175
34	-1	-1	-1	1.835
35	-1	-1	-1	1.9525
36	-1	-1	-1	2.07
37	-1	-1	-1	2.1875
38	-1	-1	-1	2.305
39	-1	-1	-1	2.4225
40	-1	-1	-1	2.54
41	-1	-1	-1	2.6575
42	-1	-1	-1	2.775
43	-1	-1	-1	2.8925
44	-1	-1	-1	3.01
45	-1	-1	-1	3.1275
46	-1	-1	-1	3.245
47	-1	-1	-1	3.3625
48	-1	-1	-1	3.48
49	-1	-1	-1	3.6612
50	-1	-1	-1	3.8425
51	-1	-1	-1	4.0237
52	-1	-1	-1	4.205
53	-1	-1	-1	4.3863
54	-1	-1	-1	4.5675
55	-1	-1	-1	4.7488
56	-1	-1	-1	4.93
57	-1	-1	-1	5.1113
58	-1	-1	-1	5.2925
59	-1	-1	-1	5.4737
60	-1	-1	-1	5.655
61	-1	-1	-1	5.8362
62	-1	-1	-1	6.0175
63	-1	-1	-1	6.1988
64	-1	-1	-1	6.38
65	-1	-1	-1	6.6375
66	-1	-1	-1	6.895
67	-1	-1	-1	7.1525
